,quad_id,lat,lat2,lon,lon2,geometry
1204,1205,40.675037,40.680037,-74.077182,-74.07218199999998,"POLYGON ((-74.07218199999998 40.675037, -74.07218199999998 40.680037, -74.077182 40.680037, -74.077182 40.675037, -74.07218199999998 40.675037))"
1209,1210,40.675037,40.680037,-74.05218199999999,-74.04718199999999,"POLYGON ((-74.04718199999999 40.675037, -74.04718199999999 40.680037, -74.05218199999999 40.680037, -74.05218199999999 40.675037, -74.04718199999999 40.675037))"
1214,1215,40.675037,40.680037,-74.027182,-74.02218199999999,"POLYGON ((-74.02218199999999 40.675037, -74.02218199999999 40.680037, -74.027182 40.680037, -74.027182 40.675037, -74.02218199999999 40.675037))"
1216,1217,40.675037,40.680037,-74.01718199999999,-74.012182,"POLYGON ((-74.012182 40.675037, -74.012182 40.680037, -74.01718199999999 40.680037, -74.01718199999999 40.675037, -74.012182 40.675037))"
1217,1218,40.675037,40.680037,-74.012182,-74.00718199999999,"POLYGON ((-74.00718199999999 40.675037, -74.00718199999999 40.680037, -74.012182 40.680037, -74.012182 40.675037, -74.00718199999999 40.675037))"
1218,1219,40.675037,40.680037,-74.00718199999999,-74.00218199999999,"POLYGON ((-74.00218199999999 40.675037, -74.00218199999999 40.680037, -74.00718199999999 40.680037, -74.00718199999999 40.675037, -74.00218199999999 40.675037))"
1219,1220,40.675037,40.680037,-74.00218199999999,-73.997182,"POLYGON ((-73.997182 40.675037, -73.997182 40.680037, -74.00218199999999 40.680037, -74.00218199999999 40.675037, -73.997182 40.675037))"
1220,1221,40.675037,40.680037,-73.997182,-73.99218199999999,"POLYGON ((-73.99218199999999 40.675037, -73.99218199999999 40.680037, -73.997182 40.680037, -73.997182 40.675037, -73.99218199999999 40.675037))"
1221,1222,40.675037,40.680037,-73.99218199999999,-73.98718199999999,"POLYGON ((-73.98718199999999 40.675037, -73.98718199999999 40.680037, -73.99218199999999 40.680037, -73.99218199999999 40.675037, -73.98718199999999 40.675037))"
1222,1223,40.675037,40.680037,-73.98718199999999,-73.982182,"POLYGON ((-73.982182 40.675037, -73.982182 40.680037, -73.98718199999999 40.680037, -73.98718199999999 40.675037, -73.982182 40.675037))"
1223,1224,40.675037,40.680037,-73.982182,-73.97718199999998,"POLYGON ((-73.97718199999998 40.675037, -73.97718199999998 40.680037, -73.982182 40.680037, -73.982182 40.675037, -73.97718199999998 40.675037))"
1224,1225,40.675037,40.680037,-73.97718199999998,-73.97218199999999,"POLYGON ((-73.97218199999999 40.675037, -73.97218199999999 40.680037, -73.97718199999998 40.680037, -73.97718199999998 40.675037, -73.97218199999999 40.675037))"
1225,1226,40.675037,40.680037,-73.97218199999999,-73.967182,"POLYGON ((-73.967182 40.675037, -73.967182 40.680037, -73.97218199999999 40.680037, -73.97218199999999 40.675037, -73.967182 40.675037))"
1226,1227,40.675037,40.680037,-73.967182,-73.96218199999998,"POLYGON ((-73.96218199999998 40.675037, -73.96218199999998 40.680037, -73.967182 40.680037, -73.967182 40.675037, -73.96218199999998 40.675037))"
1227,1228,40.675037,40.680037,-73.96218199999998,-73.95718199999999,"POLYGON ((-73.95718199999999 40.675037, -73.95718199999999 40.680037, -73.96218199999998 40.680037, -73.96218199999998 40.675037, -73.95718199999999 40.675037))"
1228,1229,40.675037,40.680037,-73.95718199999999,-73.952182,"POLYGON ((-73.952182 40.675037, -73.952182 40.680037, -73.95718199999999 40.680037, -73.95718199999999 40.675037, -73.952182 40.675037))"
1229,1230,40.675037,40.680037,-73.952182,-73.94718199999998,"POLYGON ((-73.94718199999998 40.675037, -73.94718199999998 40.680037, -73.952182 40.680037, -73.952182 40.675037, -73.94718199999998 40.675037))"
1230,1231,40.675037,40.680037,-73.94718199999998,-73.94218199999999,"POLYGON ((-73.94218199999999 40.675037, -73.94218199999999 40.680037, -73.94718199999998 40.680037, -73.94718199999998 40.675037, -73.94218199999999 40.675037))"
1231,1232,40.675037,40.680037,-73.94218199999999,-73.93718199999999,"POLYGON ((-73.93718199999999 40.675037, -73.93718199999999 40.680037, -73.94218199999999 40.680037, -73.94218199999999 40.675037, -73.93718199999999 40.675037))"
1232,1233,40.675037,40.680037,-73.93718199999999,-73.93218199999998,"POLYGON ((-73.93218199999998 40.675037, -73.93218199999998 40.680037, -73.93718199999999 40.680037, -73.93718199999999 40.675037, -73.93218199999998 40.675037))"
1233,1234,40.675037,40.680037,-73.93218199999998,-73.92718199999999,"POLYGON ((-73.92718199999999 40.675037, -73.92718199999999 40.680037, -73.93218199999998 40.680037, -73.93218199999998 40.675037, -73.92718199999999 40.675037))"
